index,lon,lat,age,plate_id
0,-69.37,-31.3,170,202
1,-69.75,-30.5,12,202
2,-66.65,-27.27,9,202
3,-66.61,-27.33,8,202
4,-66.55,-27.4,7,202
5,-66.57,-27.28,8,202
6,-67.9,-26.3,14,202
7,-70.58,-38.25,85,283
8,-69.17,-30,170,202
9,-70.05,-31.95,13,202
10,-66.6,-24.13,13,202
11,-70.45,-31.76,10,202
12,-66.22,-27.38,6,202
13,-66.76,-25.14,15,202
14,-70.63,-39.18,170,283
15,-67.75,-29,4,202
16,-65.87,-24.2,15,202
17,-69.08,-32.42,14,202
18,-69.1,-32.48,14,202
19,-70.47,-37.43,45,2901
20,-69.97,-32.57,9,2901
21,-69.43,-32.25,170,202
22,-67.78,-24.57,29,202
23,-67.73,-24.58,31,202
24,-69.44,-32.14,170,202
25,-67.48,-16.92,23,201
26,-66.6,-18.44,21,201
27,-65.75,-19.63,12,201
28,-66.45,-20.95,13,201
29,-66.03,-20.91,16,201
30,-66,-18.7,22,201
31,-66.79,-18.14,20,201
32,-67.13,-17.95,15,201
33,-66.19,-20.63,16,201
34,-66.36,-20.48,16,201
35,-71.42,-30.25,112,202
36,-69.61,-24.4,100,202
37,-69.92,-22.53,142,202
38,-69.85,-27.41,109,202
39,-69.17,-23.16,44,202
40,-69.23,-27.87,14,202
41,-69.26,-20.04,52,201
42,-69.08,-24.13,37,202
43,-68.9,-22.28,33,201
44,-68.71,-20.96,32,201
45,-68.74,-21.95,36,201
46,-68.89,-20.92,35,201
47,-70.3,-33.15,5,2901
48,-69.72,-18.29,14,201
49,-68.83,-21.92,36,201
50,-68.73,-21.12,170,201
51,-69.55,-26.25,42,202
52,-69.08,-22.99,29,202
53,-70.46,-34.09,5,2901
54,-69.06,-22.97,41,202
55,-68.82,-23.41,42,202
56,-69.87,-26.77,63,202
57,-69.08,-24.2,38,202
58,-69.07,-24.27,37,202
59,-69.88,-28.63,34,202
60,-69.28,-27.27,22,202
61,-69.08,-20.18,31,201
62,-68.75,-22.67,170,201
63,-69.03,-27.23,13,202
64,-69.51,-23.45,58,202
65,-70.27,-33.13,5,2901
66,-70.5,-31.71,10,202
67,-68.91,-22.38,34,201
68,-69.24,-22.56,64,201
69,-69.02,-27.17,13,202
70,-69.28,-19.81,58,201
71,-68.97,-22.47,36,201
72,-69.12,-23.3,40,202
73,-69.42,-26.49,37,202
74,-70.25,-27.48,110,202
75,-69.83,-21.92,132,201
76,-68.8,-21,36,201
77,-68.97,-19.87,36,201
78,-69.27,-27.38,23,202
79,-70.3,-28.5,64,202
80,-70.27,-33.14,5,2901
81,-69.23,-25.22,170,202
82,-69.34,-22.88,64,202
83,-69.3,-22.84,57,202
84,-68.95,-22.42,38,201
85,-72.15,-46.03,100,283
86,-68.64,-20.99,35,201
87,-70.23,-32.88,11,2901
88,-69.09,-24.24,39,202
89,-77.32,8.49,48,229
90,-75.03,3.52,166,201
91,-75.3,4.18,131,201
92,-76.67,1.24,166,201
93,-76.75,7.05,55,201
94,-76.5,6.7,43,201
95,-76.88,2.1,17,201
96,-79.15,-1.67,20,201
97,-79.12,-1.38,20,201
98,-79.42,-2.93,11,201
99,-78.88,-4.02,141,201
100,-78.95,-4.25,154,201
101,-79.33,-3.58,10,201
102,-79.68,-3.05,19,201
103,-78.58,0.33,7,201
104,-80,-4.33,14,201
105,-78.9,-4.65,154,201
106,-78.5,-3.6,154,201
107,-79.58,-4.2,14,201
108,-78.42,-3.65,154,201
109,-79.13,-1.57,15,201
110,-79.25,-4.25,154,201
111,-78.6,-3.78,154,201
112,-77.9,-8.56,5,201
113,-75.92,-13.23,100,201
114,-73.58,-15.82,100,201
115,-78.18,-8.17,10,201
116,-75.15,-14.18,100,201
117,-71.35,-14.96,36,201
118,-79.28,-6.08,15,201
119,-69.9,-17.68,59,201
120,-78.61,-6.76,11,201
121,-76.25,-10.63,14,201
122,-71.55,-16.55,57,201
123,-71.59,-16.54,62,201
124,-72.33,-14.03,36,201
125,-71.36,-16.77,50,201
126,-75.42,-14.23,100,201
127,-71.77,-14.46,33,201
128,-71.26,-14.95,31,201
129,-72.35,-14.18,36,201
130,-70.71,-17.05,51,201
131,-70.7,-17.04,51,201
132,-78.32,-7.02,17,201
133,-75.72,-13.77,100,201
134,-79.12,-6.36,12,201
135,-78.58,-7.12,10,201
136,-72.99,-14.46,36,201
137,-73.13,-14.16,32,201
138,-76.14,-12.98,100,201
139,-77.77,-8.22,15,201
140,-78.32,-7.3,20,201
141,-78.36,-6.91,16,201
142,-69.66,-15,23,201
143,-78,-8.79,15,201
144,-75.35,-13.93,100,201
145,-76.08,-11.48,7,201
146,-71.31,-14.98,38,201
147,-70.62,-17.11,54,201
148,-79.31,-4.94,16,201
149,-78.67,-6.73,13,201
150,-75.09,-13.69,100,201
151,-71.31,-14.91,33,201
152,-70.61,-17.25,57,201
153,-76.13,-11.6,8,201
